user_id,recency_days,frequency,monetary,surge_exposure,R_score,F_score,M_score,S_score,RFMS,RFMS_score,riders_segment,weighted_score
R02621,16,16,286.88,0.25,2,1,2,1,2121,6,At Risk Riders,1.6
R02622,13,25,364.09000000000003,0.32,3,4,4,2,3442,13,Active Riders,3.4
R02623,3,19,336.32,0.3157894736842105,4,2,3,2,4232,11,Active Riders,3.0
R02624,32,21,278.08,0.23809523809523808,1,3,2,1,1321,7,At Risk Riders,1.8
R02625,8,22,366.65999999999997,0.2727272727272727,3,3,4,2,3342,12,Active Riders,3.1
R02626,1,16,205.6,0.3125,4,1,1,2,4112,8,At Risk Riders,2.3
R02627,61,19,247.64,0.10526315789473684,1,2,1,1,1211,5,Dormant Riders,1.3
R02628,9,21,291.41,0.23809523809523808,3,3,2,1,3321,9,At Risk Riders,2.6
R02629,3,17,256.25,0.35294117647058826,4,1,2,3,4123,10,Active Riders,2.6
R02630,35,11,161.54,0.09090909090909091,1,1,1,1,1111,4,Dormant Riders,1.0
R02631,2,22,364.7,0.3181818181818182,4,3,4,2,4342,13,Active Riders,3.5
R02632,6,20,296.68,0.25,4,2,2,1,4221,9,At Risk Riders,2.7
R02633,19,24,418.32,0.25,2,4,4,1,2441,11,Active Riders,2.9
R02634,21,25,331.06,0.28,2,4,3,2,2432,11,Active Riders,2.8
R02635,15,18,252.32999999999998,0.2777777777777778,2,2,1,2,2212,7,At Risk Riders,1.8
R02636,5,16,243.33,0.375,4,1,1,3,4113,9,At Risk Riders,2.4
R02637,17,13,236.57999999999998,0.46153846153846156,2,1,1,4,2114,8,At Risk Riders,1.7
R02638,2,18,270.03,0.3333333333333333,4,2,2,2,4222,10,Active Riders,2.8
R02639,17,24,357.7,0.3333333333333333,2,4,4,2,2442,12,Active Riders,3.0
R02640,89,19,316.59,0.2631578947368421,1,2,3,1,1231,7,At Risk Riders,1.7
R02641,2,18,281.38,0.4444444444444444,4,2,2,4,4224,12,Active Riders,3.0
R02642,2,29,475.44,0.3103448275862069,4,4,4,2,4442,14,Champions,3.8
R02643,6,29,475.92,0.3448275862068966,4,4,4,3,4443,15,Champions,3.9
R02644,4,25,424.54,0.4,4,4,4,3,4443,15,Champions,3.9
R02645,30,16,220.08,0.375,1,1,1,3,1113,6,At Risk Riders,1.2
R02646,6,18,273.62,0.4444444444444444,4,2,2,4,4224,12,Active Riders,3.0
R02647,19,19,292.8,0.2631578947368421,2,2,2,1,2221,7,At Risk Riders,1.9
R02648,6,26,449.25,0.34615384615384615,4,4,4,3,4443,15,Champions,3.9
R02649,9,16,241.83,0.25,3,1,1,1,3111,6,At Risk Riders,1.8
R02650,12,27,382.62,0.14814814814814814,3,4,4,1,3441,12,Active Riders,3.3
R02651,16,28,381.05,0.17857142857142858,2,4,4,1,2441,11,Active Riders,2.9
R02652,2,21,292.61,0.42857142857142855,4,3,2,4,4324,13,Active Riders,3.3
R02653,11,20,276.54,0.2,3,2,2,1,3221,8,At Risk Riders,2.3
R02654,23,22,351.65999999999997,0.4090909090909091,2,3,3,3,2333,11,Active Riders,2.6
R02655,2,23,399.97,0.43478260869565216,4,3,4,4,4344,15,Champions,3.7
R02656,36,19,307.46,0.2631578947368421,1,2,3,1,1231,7,At Risk Riders,1.7
R02657,17,23,332.24,0.2608695652173913,2,3,3,1,2331,9,At Risk Riders,2.4
R02658,5,22,314.26,0.18181818181818182,4,3,3,1,4331,11,Active Riders,3.2
R02659,6,25,363.01,0.28,4,4,4,2,4442,14,Champions,3.8
R02660,17,16,222.14,0.25,2,1,1,1,2111,5,Dormant Riders,1.4
R02661,41,21,309.6,0.23809523809523808,1,3,3,1,1331,8,At Risk Riders,2.0
R02662,10,18,280.2,0.5,3,2,2,4,3224,11,Active Riders,2.6
R02663,14,28,459.27,0.32142857142857145,2,4,4,2,2442,12,Active Riders,3.0
R02664,33,23,355.94,0.34782608695652173,1,3,3,3,1333,10,Active Riders,2.2
R02665,23,23,356.51,0.34782608695652173,2,3,3,3,2333,11,Active Riders,2.6
R02666,17,27,412.06,0.25925925925925924,2,4,4,1,2441,11,Active Riders,2.9
R02667,5,21,327.24,0.38095238095238093,4,3,3,3,4333,13,Active Riders,3.4
R02668,3,16,221.17,0.1875,4,1,1,1,4111,7,At Risk Riders,2.2
R02669,17,14,196.22,0.2857142857142857,2,1,1,2,2112,6,At Risk Riders,1.5
R02670,13,21,275.25,0.2857142857142857,3,3,2,2,3322,10,Active Riders,2.7
R02671,8,21,343.55,0.5714285714285714,3,3,3,4,3334,13,Active Riders,3.1
R02672,43,19,254.43,0.10526315789473684,1,2,1,1,1211,5,Dormant Riders,1.3
R02673,21,19,288.05,0.15789473684210525,2,2,2,1,2221,7,At Risk Riders,1.9
R02674,16,20,296.26,0.3,2,2,2,2,2222,8,At Risk Riders,2.0
R02675,15,19,244.75,0.2631578947368421,2,2,1,1,2211,6,At Risk Riders,1.7
R02676,14,15,236.9,0.4,2,1,1,3,2113,7,At Risk Riders,1.6
R02677,14,24,353.49,0.125,2,4,3,1,2431,10,Active Riders,2.7
R02678,11,23,357.9,0.34782608695652173,3,3,4,3,3343,13,Active Riders,3.2
R02679,2,21,370.32,0.42857142857142855,4,3,4,4,4344,15,Champions,3.7
R02680,10,22,308.21,0.18181818181818182,3,3,3,1,3331,10,Active Riders,2.8
R02681,52,10,150.35,0.1,1,1,1,1,1111,4,Dormant Riders,1.0
R02682,56,25,354.6,0.28,1,4,3,2,1432,10,Active Riders,2.4
R02683,24,16,237.88,0.25,2,1,1,1,2111,5,Dormant Riders,1.4
R02684,23,21,309.58,0.2857142857142857,2,3,3,2,2332,10,Active Riders,2.5
R02685,10,17,250.62,0.4117647058823529,3,1,1,4,3114,9,At Risk Riders,2.1
R02686,17,19,290.97,0.3157894736842105,2,2,2,2,2222,8,At Risk Riders,2.0
R02687,9,15,219.62,0.3333333333333333,3,1,1,2,3112,7,At Risk Riders,1.9
R02688,5,26,407.48,0.2692307692307692,4,4,4,2,4442,14,Champions,3.8
R02689,20,22,346.06,0.3181818181818182,2,3,3,2,2332,10,Active Riders,2.5
R02690,3,25,398.18,0.4,4,4,4,3,4443,15,Champions,3.9
R02691,3,14,268.40999999999997,0.2857142857142857,4,1,2,2,4122,9,At Risk Riders,2.5
R02692,4,24,393.58,0.5,4,4,4,4,4444,16,Champions,4.0
R02693,32,22,299.68,0.3181818181818182,1,3,2,2,1322,8,At Risk Riders,1.9
R02694,32,27,404.76,0.37037037037037035,1,4,4,3,1443,12,Active Riders,2.7
R02695,2,18,280.74,0.3333333333333333,4,2,2,2,4222,10,Active Riders,2.8
R02696,11,15,235.86,0.5333333333333333,3,1,1,4,3114,9,At Risk Riders,2.1
R02697,9,25,356.31,0.32,3,4,3,2,3432,12,Active Riders,3.2
R02698,3,19,291.85,0.3157894736842105,4,2,2,2,4222,10,Active Riders,2.8
R02699,10,23,348.16,0.34782608695652173,3,3,3,3,3333,12,Active Riders,3.0
R02700,4,19,296.37,0.2631578947368421,4,2,2,1,4221,9,At Risk Riders,2.7
R02701,2,17,261.87,0.11764705882352941,4,1,2,1,4121,8,At Risk Riders,2.4
R02702,31,21,323.83,0.42857142857142855,1,3,3,4,1334,11,Active Riders,2.3
R02703,51,18,259.05,0.3333333333333333,1,2,2,2,1222,7,At Risk Riders,1.6
R02704,12,21,285.90999999999997,0.38095238095238093,3,3,2,3,3323,11,Active Riders,2.8
R02705,30,19,299.42,0.3157894736842105,1,2,2,2,1222,7,At Risk Riders,1.6
R02706,7,25,376.28,0.44,3,4,4,4,3444,15,Champions,3.6
R02707,5,17,226.23,0.23529411764705882,4,1,1,1,4111,7,At Risk Riders,2.2
R02708,7,26,407.6,0.38461538461538464,3,4,4,3,3443,14,Champions,3.5
R02709,9,29,443.18,0.4482758620689655,3,4,4,4,3444,15,Champions,3.6
R02710,59,19,285.13,0.21052631578947367,1,2,2,1,1221,6,At Risk Riders,1.5
R02711,7,24,398.93,0.2916666666666667,3,4,4,2,3442,13,Active Riders,3.4
R02712,19,27,369.71,0.2962962962962963,2,4,4,2,2442,12,Active Riders,3.0
R02713,38,23,339.99,0.34782608695652173,1,3,3,3,1333,10,Active Riders,2.2
R02714,8,28,417.78000000000003,0.35714285714285715,3,4,4,3,3443,14,Champions,3.5
R02715,13,18,264.22,0.3333333333333333,3,2,2,2,3222,9,At Risk Riders,2.4
R02716,28,18,292.95,0.5,1,2,2,4,1224,9,At Risk Riders,1.8
R02717,22,15,289.33,0.4,2,1,2,3,2123,8,At Risk Riders,1.8
R02718,9,15,210.05,0.26666666666666666,3,1,1,2,3112,7,At Risk Riders,1.9
R02719,26,23,354.62,0.34782608695652173,2,3,3,3,2333,11,Active Riders,2.6
R02720,4,27,383.16,0.3333333333333333,4,4,4,2,4442,14,Champions,3.8
R02721,4,19,275.96,0.3684210526315789,4,2,2,3,4223,11,Active Riders,2.9
R02722,20,20,290.4,0.3,2,2,2,2,2222,8,At Risk Riders,2.0
R02723,4,19,274.92,0.10526315789473684,4,2,2,1,4221,9,At Risk Riders,2.7
R02724,25,22,297.46,0.2727272727272727,2,3,2,2,2322,9,At Risk Riders,2.3
R02725,7,20,301.90999999999997,0.3,3,2,2,2,3222,9,At Risk Riders,2.4
R02726,14,20,275.61,0.3,2,2,2,2,2222,8,At Risk Riders,2.0
R02727,21,22,344.86,0.45454545454545453,2,3,3,4,2334,12,Active Riders,2.7
R02728,5,20,314.54,0.4,4,2,3,3,4233,12,Active Riders,3.1
R02729,28,23,313.25,0.17391304347826086,1,3,3,1,1331,8,At Risk Riders,2.0
R02730,99,14,215.03,0.5,1,1,1,4,1114,7,At Risk Riders,1.3
R02731,5,27,434.29,0.25925925925925924,4,4,4,1,4441,13,Active Riders,3.7
R02732,5,18,253.74,0.16666666666666666,4,2,1,1,4211,8,At Risk Riders,2.5
R02733,32,16,249.95,0.375,1,1,1,3,1113,6,At Risk Riders,1.2
R02734,17,22,320.18,0.36363636363636365,2,3,3,3,2333,11,Active Riders,2.6
R02735,12,25,379.13,0.4,3,4,4,3,3443,14,Champions,3.5
R02736,29,24,379.11,0.375,1,4,4,3,1443,12,Active Riders,2.7
R02737,17,17,239.9,0.35294117647058826,2,1,1,3,2113,7,At Risk Riders,1.6
R02738,24,18,278.77,0.2222222222222222,2,2,2,1,2221,7,At Risk Riders,1.9
R02739,16,14,241.38,0.42857142857142855,2,1,1,4,2114,8,At Risk Riders,1.7
R02740,3,25,381.95,0.24,4,4,4,1,4441,13,Active Riders,3.7
R02741,58,21,358.33,0.42857142857142855,1,3,4,4,1344,12,Active Riders,2.5
R02742,6,25,366.45,0.32,4,4,4,2,4442,14,Champions,3.8
R02743,18,16,217.51,0.375,2,1,1,3,2113,7,At Risk Riders,1.6
R02744,24,17,287.7,0.29411764705882354,2,1,2,2,2122,7,At Risk Riders,1.7
R02745,92,14,192.93,0.35714285714285715,1,1,1,3,1113,6,At Risk Riders,1.2
R02746,15,20,309.63,0.35,2,2,3,3,2233,10,Active Riders,2.3
R02747,11,16,266.14,0.375,3,1,2,3,3123,9,At Risk Riders,2.2
R02748,8,23,424.68,0.34782608695652173,3,3,4,3,3343,13,Active Riders,3.2
R02749,2,18,246.95,0.5,4,2,1,4,4214,11,Active Riders,2.8
R02750,41,19,282.36,0.2631578947368421,1,2,2,1,1221,6,At Risk Riders,1.5
R02751,50,16,222.8,0.125,1,1,1,1,1111,4,Dormant Riders,1.0
R02752,45,16,266.78,0.625,1,1,2,4,1124,8,At Risk Riders,1.5
R02753,11,16,283.25,0.5625,3,1,2,4,3124,10,Active Riders,2.3
R02754,15,12,180.66,0.3333333333333333,2,1,1,2,2112,6,At Risk Riders,1.5
R02755,3,19,266.0,0.42105263157894735,4,2,2,4,4224,12,Active Riders,3.0
R02756,6,15,236.29,0.4666666666666667,4,1,1,4,4114,10,Active Riders,2.5
R02757,8,20,355.1,0.3,3,2,3,2,3232,10,Active Riders,2.6
R02758,25,31,495.02,0.16129032258064516,2,4,4,1,2441,11,Active Riders,2.9
R02759,28,25,379.66,0.28,1,4,4,2,1442,11,Active Riders,2.6
R02760,15,17,247.51,0.11764705882352941,2,1,1,1,2111,5,Dormant Riders,1.4
R02761,10,18,272.54,0.16666666666666666,3,2,2,1,3221,8,At Risk Riders,2.3
R02762,3,26,360.89,0.19230769230769232,4,4,4,1,4441,13,Active Riders,3.7
R02763,68,20,274.55,0.35,1,2,2,3,1223,8,At Risk Riders,1.7
R02764,11,27,393.67,0.2222222222222222,3,4,4,1,3441,12,Active Riders,3.3
R02765,23,24,354.36,0.3333333333333333,2,4,3,2,2432,11,Active Riders,2.8
R02766,10,13,202.47,0.38461538461538464,3,1,1,3,3113,8,At Risk Riders,2.0
R02767,11,24,393.19,0.4583333333333333,3,4,4,4,3444,15,Champions,3.6
R02768,5,24,368.21999999999997,0.375,4,4,4,3,4443,15,Champions,3.9
R02769,33,20,326.85,0.3,1,2,3,2,1232,8,At Risk Riders,1.8
R02770,23,13,191.96,0.38461538461538464,2,1,1,3,2113,7,At Risk Riders,1.6
R02771,20,18,307.06,0.2222222222222222,2,2,3,1,2231,8,At Risk Riders,2.1
R02772,5,22,353.51,0.2727272727272727,4,3,3,2,4332,12,Active Riders,3.3
R02773,51,17,299.86,0.4117647058823529,1,1,2,4,1124,8,At Risk Riders,1.5
R02774,17,13,237.86,0.5384615384615384,2,1,1,4,2114,8,At Risk Riders,1.7
R02775,10,15,261.29,0.4666666666666667,3,1,2,4,3124,10,Active Riders,2.3
R02776,35,14,216.75,0.2857142857142857,1,1,1,2,1112,5,Dormant Riders,1.1
R02777,1,19,320.34,0.47368421052631576,4,2,3,4,4234,13,Active Riders,3.2
R02778,32,25,365.89,0.16,1,4,4,1,1441,10,Active Riders,2.5
R02779,5,22,329.13,0.2727272727272727,4,3,3,2,4332,12,Active Riders,3.3
R02780,6,29,421.18,0.27586206896551724,4,4,4,2,4442,14,Champions,3.8
R02781,5,19,272.24,0.3684210526315789,4,2,2,3,4223,11,Active Riders,2.9
R02782,17,23,372.28,0.391304347826087,2,3,4,3,2343,12,Active Riders,2.8
R02783,18,17,267.75,0.47058823529411764,2,1,2,4,2124,9,At Risk Riders,1.9
R02784,91,12,132.37,0.16666666666666666,1,1,1,1,1111,4,Dormant Riders,1.0
R02785,14,18,312.77,0.5,2,2,3,4,2234,11,Active Riders,2.4
R02786,11,22,372.46,0.45454545454545453,3,3,4,4,3344,14,Champions,3.3
R02787,29,19,254.05,0.21052631578947367,1,2,1,1,1211,5,Dormant Riders,1.3
R02788,13,18,295.15999999999997,0.3888888888888889,3,2,2,3,3223,10,Active Riders,2.5
R02789,56,20,372.78,0.3,1,2,4,2,1242,9,At Risk Riders,2.0
R02790,1,17,201.68,0.23529411764705882,4,1,1,1,4111,7,At Risk Riders,2.2
R02791,2,18,239.08,0.2222222222222222,4,2,1,1,4211,8,At Risk Riders,2.5
R02792,38,22,319.02,0.3181818181818182,1,3,3,2,1332,9,At Risk Riders,2.1
R02793,11,13,192.67,0.23076923076923078,3,1,1,1,3111,6,At Risk Riders,1.8
R02794,18,20,351.56,0.3,2,2,3,2,2232,9,At Risk Riders,2.2
R02795,12,22,324.66,0.2727272727272727,3,3,3,2,3332,11,Active Riders,2.9
R02796,9,22,368.92,0.4090909090909091,3,3,4,3,3343,13,Active Riders,3.2
R02797,8,20,284.09,0.25,3,2,2,1,3221,8,At Risk Riders,2.3
R02798,14,23,378.3,0.4782608695652174,2,3,4,4,2344,13,Active Riders,2.9
R02799,6,25,388.41,0.44,4,4,4,4,4444,16,Champions,4.0
R02800,19,16,252.55,0.1875,2,1,1,1,2111,5,Dormant Riders,1.4
R02801,14,23,377.18,0.2608695652173913,2,3,4,1,2341,10,Active Riders,2.6
R02802,4,17,265.44,0.35294117647058826,4,1,2,3,4123,10,Active Riders,2.6
R02803,38,19,278.72,0.21052631578947367,1,2,2,1,1221,6,At Risk Riders,1.5
R02804,31,16,257.32,0.5625,1,1,2,4,1124,8,At Risk Riders,1.5
R02805,49,17,246.57,0.11764705882352941,1,1,1,1,1111,4,Dormant Riders,1.0
R02806,1,27,348.17,0.1111111111111111,4,4,3,1,4431,12,Active Riders,3.5
R02807,11,15,224.89,0.3333333333333333,3,1,1,2,3112,7,At Risk Riders,1.9
R02808,3,22,353.78,0.45454545454545453,4,3,3,4,4334,14,Champions,3.5
R02809,2,24,375.07,0.2916666666666667,4,4,4,2,4442,14,Champions,3.8
R02810,39,21,275.83,0.3333333333333333,1,3,2,2,1322,8,At Risk Riders,1.9
R02811,5,16,265.15999999999997,0.5,4,1,2,4,4124,11,Active Riders,2.7
R02812,41,17,250.77,0.29411764705882354,1,1,1,2,1112,5,Dormant Riders,1.1
R02813,9,24,349.89,0.3333333333333333,3,4,3,2,3432,12,Active Riders,3.2
R02814,5,16,250.81,0.4375,4,1,1,4,4114,10,Active Riders,2.5
R02815,18,18,257.83,0.2222222222222222,2,2,2,1,2221,7,At Risk Riders,1.9
R02816,22,26,418.52,0.34615384615384615,2,4,4,3,2443,13,Active Riders,3.1
R02817,4,18,324.77,0.3888888888888889,4,2,3,3,4233,12,Active Riders,3.1
R02818,14,20,291.13,0.35,2,2,2,3,2223,9,At Risk Riders,2.1
R02819,36,20,276.11,0.3,1,2,2,2,1222,7,At Risk Riders,1.6
R02820,11,15,223.49,0.4,3,1,1,3,3113,8,At Risk Riders,2.0
R02821,49,23,344.19,0.34782608695652173,1,3,3,3,1333,10,Active Riders,2.2
R02822,39,27,419.26,0.2962962962962963,1,4,4,2,1442,11,Active Riders,2.6
R02823,22,21,311.26,0.2857142857142857,2,3,3,2,2332,10,Active Riders,2.5
R02824,19,28,400.25,0.4642857142857143,2,4,4,4,2444,14,Champions,3.2
R02825,6,28,470.66,0.39285714285714285,4,4,4,3,4443,15,Champions,3.9
R02826,18,31,459.47,0.3548387096774194,2,4,4,3,2443,13,Active Riders,3.1
R02827,3,21,308.35,0.2857142857142857,4,3,3,2,4332,12,Active Riders,3.3
R02828,28,21,368.77,0.42857142857142855,1,3,4,4,1344,12,Active Riders,2.5
R02829,27,16,237.69,0.3125,1,1,1,2,1112,5,Dormant Riders,1.1
R02830,10,22,334.59999999999997,0.3181818181818182,3,3,3,2,3332,11,Active Riders,2.9
R02831,2,22,320.66,0.4090909090909091,4,3,3,3,4333,13,Active Riders,3.4
R02832,56,20,293.86,0.25,1,2,2,1,1221,6,At Risk Riders,1.5
R02833,11,23,342.59,0.391304347826087,3,3,3,3,3333,12,Active Riders,3.0
R02834,45,19,251.65,0.3157894736842105,1,2,1,2,1212,6,At Risk Riders,1.4
R02835,1,17,287.13,0.47058823529411764,4,1,2,4,4124,11,Active Riders,2.7
R02836,31,20,297.5,0.15,1,2,2,1,1221,6,At Risk Riders,1.5
R02837,42,12,203.56,0.4166666666666667,1,1,1,4,1114,7,At Risk Riders,1.3
R02838,3,24,422.65999999999997,0.4166666666666667,4,4,4,4,4444,16,Champions,4.0
R02839,1,23,331.17,0.30434782608695654,4,3,3,2,4332,12,Active Riders,3.3
R02840,7,19,280.13,0.3684210526315789,3,2,2,3,3223,10,Active Riders,2.5
R02841,15,31,437.97,0.16129032258064516,2,4,4,1,2441,11,Active Riders,2.9
R02842,12,13,185.81,0.3076923076923077,3,1,1,2,3112,7,At Risk Riders,1.9
R02843,8,20,332.97,0.15,3,2,3,1,3231,9,At Risk Riders,2.5
R02844,12,19,276.5,0.2631578947368421,3,2,2,1,3221,8,At Risk Riders,2.3
R02845,13,16,217.11,0.4375,3,1,1,4,3114,9,At Risk Riders,2.1
R02846,31,22,391.19,0.45454545454545453,1,3,4,4,1344,12,Active Riders,2.5
R02847,9,20,296.65,0.4,3,2,2,3,3223,10,Active Riders,2.5
R02848,15,15,216.43,0.4,2,1,1,3,2113,7,At Risk Riders,1.6
R02849,21,13,206.84,0.46153846153846156,2,1,1,4,2114,8,At Risk Riders,1.7
R02850,38,22,360.4,0.5,1,3,4,4,1344,12,Active Riders,2.5
R02851,1,24,387.72,0.25,4,4,4,1,4441,13,Active Riders,3.7
R02852,18,16,246.5,0.375,2,1,1,3,2113,7,At Risk Riders,1.6
R02853,9,24,310.2,0.2916666666666667,3,4,3,2,3432,12,Active Riders,3.2
R02854,8,23,362.48,0.34782608695652173,3,3,4,3,3343,13,Active Riders,3.2
R02855,3,19,296.45,0.42105263157894735,4,2,2,4,4224,12,Active Riders,3.0
R02856,32,16,251.54000000000002,0.25,1,1,1,1,1111,4,Dormant Riders,1.0
R02857,36,19,289.79,0.3157894736842105,1,2,2,2,1222,7,At Risk Riders,1.6
R02858,24,18,271.58,0.16666666666666666,2,2,2,1,2221,7,At Risk Riders,1.9
R02859,4,14,249.23,0.14285714285714285,4,1,1,1,4111,7,At Risk Riders,2.2
R02860,16,24,309.16,0.16666666666666666,2,4,3,1,2431,10,Active Riders,2.7
R02861,2,13,192.76,0.46153846153846156,4,1,1,4,4114,10,Active Riders,2.5
R02862,9,22,337.04,0.2727272727272727,3,3,3,2,3332,11,Active Riders,2.9
R02863,17,26,352.58,0.23076923076923078,2,4,3,1,2431,10,Active Riders,2.7
R02864,29,22,380.65,0.3181818181818182,1,3,4,2,1342,10,Active Riders,2.3
R02865,9,24,374.27,0.375,3,4,4,3,3443,14,Champions,3.5
R02866,7,25,370.54,0.32,3,4,4,2,3442,13,Active Riders,3.4
R02867,17,15,258.72,0.6,2,1,2,4,2124,9,At Risk Riders,1.9
R02868,53,26,421.27,0.4230769230769231,1,4,4,4,1444,13,Active Riders,2.8
R02869,7,23,379.36,0.30434782608695654,3,3,4,2,3342,12,Active Riders,3.1
R02870,4,14,211.07,0.2857142857142857,4,1,1,2,4112,8,At Risk Riders,2.3
R02871,6,15,229.88,0.26666666666666666,4,1,1,2,4112,8,At Risk Riders,2.3
R02872,14,13,185.14,0.3076923076923077,2,1,1,2,2112,6,At Risk Riders,1.5
R02873,31,23,341.02,0.2608695652173913,1,3,3,1,1331,8,At Risk Riders,2.0
R02874,24,27,407.13,0.37037037037037035,2,4,4,3,2443,13,Active Riders,3.1
R02875,1,18,259.67,0.3888888888888889,4,2,2,3,4223,11,Active Riders,2.9
R02876,27,29,393.15999999999997,0.1724137931034483,1,4,4,1,1441,10,Active Riders,2.5
R02877,9,22,335.99,0.22727272727272727,3,3,3,1,3331,10,Active Riders,2.8
R02878,1,20,273.13,0.2,4,2,2,1,4221,9,At Risk Riders,2.7
R02879,19,20,333.96,0.5,2,2,3,4,2234,11,Active Riders,2.4
R02880,37,15,260.71,0.4666666666666667,1,1,2,4,1124,8,At Risk Riders,1.5
R02881,6,18,321.72,0.4444444444444444,4,2,3,4,4234,13,Active Riders,3.2
R02882,27,22,318.41,0.2727272727272727,1,3,3,2,1332,9,At Risk Riders,2.1
R02883,1,19,297.26,0.3684210526315789,4,2,2,3,4223,11,Active Riders,2.9
R02884,22,21,324.51,0.42857142857142855,2,3,3,4,2334,12,Active Riders,2.7
R02885,19,15,289.0,0.5333333333333333,2,1,2,4,2124,9,At Risk Riders,1.9
R02886,9,17,243.21,0.35294117647058826,3,1,1,3,3113,8,At Risk Riders,2.0
R02887,6,18,260.62,0.2222222222222222,4,2,2,1,4221,9,At Risk Riders,2.7
R02888,11,14,186.6,0.07142857142857142,3,1,1,1,3111,6,At Risk Riders,1.8
R02889,6,19,324.1,0.3684210526315789,4,2,3,3,4233,12,Active Riders,3.1
R02890,50,19,267.52,0.3684210526315789,1,2,2,3,1223,8,At Risk Riders,1.7
R02891,53,20,283.54,0.1,1,2,2,1,1221,6,At Risk Riders,1.5
R02892,60,20,297.6,0.35,1,2,2,3,1223,8,At Risk Riders,1.7
R02893,4,26,398.75,0.5,4,4,4,4,4444,16,Champions,4.0
R02894,78,19,260.9,0.15789473684210525,1,2,2,1,1221,6,At Risk Riders,1.5
R02895,56,22,378.44,0.4090909090909091,1,3,4,3,1343,11,Active Riders,2.4
R02896,11,27,450.86,0.37037037037037035,3,4,4,3,3443,14,Champions,3.5
R02897,8,16,217.44,0.375,3,1,1,3,3113,8,At Risk Riders,2.0
R02898,4,19,324.84999999999997,0.42105263157894735,4,2,3,4,4234,13,Active Riders,3.2
R02899,5,23,332.77,0.391304347826087,4,3,3,3,4333,13,Active Riders,3.4
R02900,8,17,266.16,0.4117647058823529,3,1,2,4,3124,10,Active Riders,2.3
R02901,20,20,253.09,0.1,2,2,1,1,2211,6,At Risk Riders,1.7
R02902,32,16,267.5,0.3125,1,1,2,2,1122,6,At Risk Riders,1.3
R02903,21,21,297.38,0.23809523809523808,2,3,2,1,2321,8,At Risk Riders,2.2
R02904,3,16,256.17,0.5,4,1,2,4,4124,11,Active Riders,2.7
R02905,43,19,286.39,0.2631578947368421,1,2,2,1,1221,6,At Risk Riders,1.5
R02906,21,22,368.81,0.4090909090909091,2,3,4,3,2343,12,Active Riders,2.8
R02907,11,18,341.64,0.5555555555555556,3,2,3,4,3234,12,Active Riders,2.8
R02908,20,21,321.21,0.23809523809523808,2,3,3,1,2331,9,At Risk Riders,2.4
R02909,9,18,312.17,0.2777777777777778,3,2,3,2,3232,10,Active Riders,2.6
R02910,47,13,207.3,0.38461538461538464,1,1,1,3,1113,6,At Risk Riders,1.2
R02911,6,18,267.05,0.2777777777777778,4,2,2,2,4222,10,Active Riders,2.8
R02912,5,11,166.35,0.45454545454545453,4,1,1,4,4114,10,Active Riders,2.5
R02913,4,25,392.18,0.4,4,4,4,3,4443,15,Champions,3.9
R02914,29,19,333.03,0.2631578947368421,1,2,3,1,1231,7,At Risk Riders,1.7
R02915,49,13,194.57,0.38461538461538464,1,1,1,3,1113,6,At Risk Riders,1.2
R02916,4,18,243.25,0.3333333333333333,4,2,1,2,4212,9,At Risk Riders,2.6
R02917,32,22,282.88,0.22727272727272727,1,3,2,1,1321,7,At Risk Riders,1.8
R02918,33,21,318.09999999999997,0.42857142857142855,1,3,3,4,1334,11,Active Riders,2.3
R02919,48,22,371.53,0.3181818181818182,1,3,4,2,1342,10,Active Riders,2.3
R02920,65,17,284.01,0.4117647058823529,1,1,2,4,1124,8,At Risk Riders,1.5
R02921,15,19,291.47,0.47368421052631576,2,2,2,4,2224,10,Active Riders,2.2
R02922,46,16,284.81,0.25,1,1,2,1,1121,5,Dormant Riders,1.2
R02923,19,19,272.25,0.21052631578947367,2,2,2,1,2221,7,At Risk Riders,1.9
R02924,43,16,259.57,0.375,1,1,2,3,1123,7,At Risk Riders,1.4
R02925,25,21,300.68,0.23809523809523808,2,3,2,1,2321,8,At Risk Riders,2.2
R02926,2,18,237.94,0.16666666666666666,4,2,1,1,4211,8,At Risk Riders,2.5
R02927,4,12,188.6,0.25,4,1,1,1,4111,7,At Risk Riders,2.2
R02928,53,15,250.02,0.2,1,1,1,1,1111,4,Dormant Riders,1.0
R02929,11,18,267.18,0.3888888888888889,3,2,2,3,3223,10,Active Riders,2.5
R02930,8,14,221.78,0.35714285714285715,3,1,1,3,3113,8,At Risk Riders,2.0
R02931,17,23,344.17,0.34782608695652173,2,3,3,3,2333,11,Active Riders,2.6
R02932,21,14,228.37,0.5,2,1,1,4,2114,8,At Risk Riders,1.7
R02933,35,19,298.42,0.42105263157894735,1,2,2,4,1224,9,At Risk Riders,1.8
R02934,10,23,355.07,0.34782608695652173,3,3,3,3,3333,12,Active Riders,3.0
R02935,2,23,411.27,0.30434782608695654,4,3,4,2,4342,13,Active Riders,3.5
R02936,42,14,181.87,0.2857142857142857,1,1,1,2,1112,5,Dormant Riders,1.1
R02937,25,23,335.25,0.34782608695652173,2,3,3,3,2333,11,Active Riders,2.6
R02938,15,25,446.38,0.32,2,4,4,2,2442,12,Active Riders,3.0
R02939,3,36,600.13,0.3611111111111111,4,4,4,3,4443,15,Champions,3.9
R02940,10,15,216.47,0.6,3,1,1,4,3114,9,At Risk Riders,2.1
